,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
68,2021-09-11,763.5950451238108,27.047537548294716,1561.9214549640976,716.3756981161739,813.2776874433791,60.540216287128544,60.540216287128544,60.540216287128544,73.4236884135044,73.4236884135044,73.4236884135044,-12.883472126375855,-12.883472126375855,-12.883472126375855,0.0,0.0,0.0,824.1352614109394
69,2021-09-12,765.0652735260269,42.657852377466085,1565.15071772931,716.8593448452746,815.6205218960531,56.01677900864814,56.01677900864814,56.01677900864814,73.36118910201166,73.36118910201166,73.36118910201166,-17.344410093363518,-17.344410093363518,-17.344410093363518,0.0,0.0,0.0,821.0820525346751
70,2021-09-13,766.5355019282432,-7.728646190477959,1517.2332756871667,716.8857434250078,817.7059117655576,-43.855721421560446,-43.855721421560446,-43.855721421560446,-22.25294253791436,-22.25294253791436,-22.25294253791436,-21.60277888364608,-21.60277888364608,-21.60277888364608,0.0,0.0,0.0,722.6797805066827
71,2021-09-14,768.0057303304592,-69.77114584860091,1482.1155758566952,717.2548664436165,819.8463181446543,-64.06385830187156,-64.06385830187156,-64.06385830187156,-38.47269219204266,-38.47269219204266,-38.47269219204266,-25.591166109828897,-25.591166109828897,-25.591166109828897,0.0,0.0,0.0,703.9418720285876
72,2021-09-15,769.4759587326755,-94.37956607640177,1429.0123687086723,717.7685899628071,822.6163153125233,-87.60113354943606,-87.60113354943606,-87.60113354943606,-58.35530717009608,-58.35530717009608,-58.35530717009608,-29.245826379339984,-29.245826379339984,-29.245826379339984,0.0,0.0,0.0,681.8748251832394
73,2021-09-16,770.9461871348911,-51.83642311303849,1451.147758461357,717.9515884188,825.7049431720117,-37.14294670722528,-37.14294670722528,-37.14294670722528,-4.634685224755376,-4.634685224755376,-4.634685224755376,-32.50826148246989,-32.50826148246989,-32.50826148246989,0.0,0.0,0.0,733.8032404276659
74,2021-09-17,772.4164155371071,-23.51098750644114,1454.0254238906602,719.0957896635472,828.4311564912994,-58.3959405141909,-58.3959405141909,-58.3959405141909,-23.069250390592078,-23.069250390592078,-23.069250390592078,-35.32669012359882,-35.32669012359882,-35.32669012359882,0.0,0.0,0.0,714.0204750229162
75,2021-09-18,773.8866439393234,70.67466373958692,1581.0067690939659,719.4172195686914,830.5488870442218,35.76632569553655,35.76632569553655,35.76632569553655,73.42368841335814,73.42368841335814,73.42368841335814,-37.65736271782157,-37.65736271782157,-37.65736271782157,0.0,0.0,0.0,809.65296963486
76,2021-09-19,775.3568723415395,57.293804298480644,1572.2665996733456,719.5409092085532,833.0250334473985,33.89550788784506,33.89550788784506,33.89550788784506,73.36118910184206,73.36118910184206,73.36118910184206,-39.465681213997,-39.465681213997,-39.465681213997,0.0,0.0,0.0,809.2523802293846
77,2021-09-20,776.8271007437559,17.13528473104803,1466.1463093953219,720.0554462631429,835.2153768737794,-62.98003213408613,-62.98003213408613,-62.98003213408613,-22.252942538163587,-22.252942538163587,-22.252942538163587,-40.727089595922536,-40.727089595922536,-40.727089595922536,0.0,0.0,0.0,713.8470686096697
78,2021-09-21,778.2973291459718,-52.58999336941349,1431.073089732237,720.5755345352081,837.8545940500566,-79.90039966977324,-79.90039966977324,-79.90039966977324,-38.472692192120554,-38.472692192120554,-38.472692192120554,-41.427707477652675,-41.427707477652675,-41.427707477652675,0.0,0.0,0.0,698.3969294761986
79,2021-09-22,779.7675575481882,-30.00280002385113,1413.583192557528,721.095132217008,840.5243868536826,-99.91999400956058,-99.91999400956058,-99.91999400956058,-58.35530717018186,-58.35530717018186,-58.35530717018186,-41.564686839378716,-41.564686839378716,-41.564686839378716,0.0,0.0,0.0,679.8475635386276
80,2021-09-23,781.2377859504038,-20.92050852494104,1459.5409855805422,721.6182816289904,842.7805139730972,-45.78096543380332,-45.78096543380332,-45.78096543380332,-4.634685224765272,-4.634685224765272,-4.634685224765272,-41.14628020903803,-41.14628020903803,-41.14628020903803,0.0,0.0,0.0,735.4568205166005
